original_query,changed_query
"안녕하세요 코인으로 돈좀 벌었다가 다 날려가지고 개인회생 알아보고 있습니다...처음에는 하루만에 5~60만원 버니까 투자금액 10배만 있어도 하루에 5~600만, 한달에 3천 이상 되겠다 싶었어요그렇게 대출을 받아서 코인에 투자했는데 맘같이 안되더라구요... 다날렸습니다진짜 죽고싶은 마음도 들었는데 부모님 생각하니 안되겠더라구요그래서 개인회생코인탕감된다는 소리를 듣고 신청해보려고 하비낟근데 어디서는 또 안된다고 하고..... 개인회생코인 탕감되나요??개인회생코인 탕감 안되면 인생 종쳤습니다....",개인회생 절차를 통해 채무를 조정받을 수 있는 방법이 있을까요?
한 120만원 당햇는데요형사재판도 2심 어쩌구 끝난거같구 대표가 극단선택햇으면? 고소해도 안되나요?그남동생 권군인지 몬지? 이미 환불은 포기햇구고소라도 해놓으려 하는데? 그동안도 못햇지만?대표사망 그남동생 놈한테라도 추가 접수하려는데?의미 없는지요?이것도 기각당하는 거에요?,이 경우에 추가 고소를 진행할 수 있을까요?
누나가 가상화폐로 고수익을 낼 수있다고하여 투자를 했었고 몇년 수익을 얻었습니다그러다 직장동료에게 제안했고 동료도 투자를 했고 수익을 받았는데 누나가 일이 잘못되어 투자한돈의 1/3일가량을 지인이 받지 못하였고 저또한 빚더미에 앉게되었습니다.지인은 두명이며 1000만원과 3000만원정도의 받지못한돈이 있다고 저를 유사수신으로 고소한다고하는데 가능한가요?누나는 피해자가 많아 구속된상황이고 저는 누나라 믿었고 피해자가 많은줄은 꿈에도 몰랐습니다.누나가 힘들다고 집이며 차 카드론까지 빌려 도와주었는데그걸로는 감당이 안되는 금액이었던것같아요.정확한 금액은 저도 잘 모르고요.저도 빚더미라 당장 갚아줄 능력은 안되는데 빨리 갚으라고하는데 보기에 빨리 갚지못할거같으니 고소한다고하는데 민사는 안될것같으니 형사로 유사수신으로 고소한다고하네요.통장입출 내역으로 따져보면(수익으로줬던금액까지) 대략500만원정도와 1500정도인데 누나와 저와 둘을 함께 유사수신으로 고소한다는데 가능한지 궁금합니다.누나는 지금 구속중이고 아직 재판은 안받았구요.,동료들이 투자한 돈을 돌려받지 못한 상황에서 법적 조치가 가능한지 궁금합니다.
21.06.17(목) 핸드폰 문자로 저금리 대출이 가능하다고하는 문자를 받아 대환대출을 알아보고 있던저에겐 너무도 간절한 일이다보니 ARS로 신청을 넣었고 담당자라며 연락이 와서 번호추가해서카톡으로 대화진행을 하자고해서 진행하였습니다.진행도중 계좌검증인가를 해야하고 체크카드를 보내줘야한다고해서 왜그런거냐고 물었더니개인대출업체이고 법정이자율보다 높다보니 가상계좌를 발급을 해줄수가없어서 고객님들이체크카드를 보내주시고 그계좌로 월마다 이자를 입금하면 출금하겠다고 연락을하고 출금을진행한다고 말을하였고 저는 바보같이 그 말을 믿고 체크카드를 택배로 보냈으나 대출금은받지못하고 제 계좌가 보이시피싱에 이용되었습니다..현재 계좌거래정지가 되있는상태고 6.18(금) 경찰청에 전화로 문의 후 경찰서에가서 민원상담실에서상담을 하였고 진정서를 쓰고 접수하면 2주안에 연락이 갈꺼라고 안내를 받고 접수 후 나왔습니다..여기서 질문입니다..1. 제 명의로 된 모든계좌들이 거래정지가되어있는 상태인데 자동인출(대출금.요금 등)로 걸려있는모든 거래도 불가이고 제가 직접 은행에 내방하여 이체를 해줘야 하나요?2. 검색을 해보니 상황이 어찌되었건 저는 피의자신분인데 피해를 받으신분이 신고를 안하시면형사조사도 못받고 혐의든 무혐의든 인정을 못받는건데 그렇게되면 사건에 이용된 계좌 이외에다른 계좌들도 거래정지를 풀수없는건가요?3. 피해자분께서 신고를 안하신다면 제가 자발적으로 어떻게 해결할수있는 방법은 없는건지..답답한 마음에 이렇게 질문을 드리오니 변호사님들의 광고성 답글은 사양하겠습니다..제발 도와주세요..,"1. 계좌 거래정지 상태에서 자동이체를 어떻게 하면 좋을까요? 은행에 직접 방문해서 해결해야 하나요?
2. 사건에 관련된 계좌 외의 다른 계좌들도 거래정지가 된 상태에서 이를 풀 수 있는 방법이 있을까요?
3. 피해자가 신고하지 않을 경우, 제가 스스로 문제를 해결할 수 있는 방법이 있을까요?"
안녕하세요..2012년에 상가에서 일을하다가2014년 보수를 못받아 2014년에부동산 을 매수했고2025년 까지 운영을 하고 있습니다.2021년 소송이 걸렸고전매도인은 이 물건을 미등기 전매를했는데제 앞에 2명이 더 있었고교환계약도 했고제 바로 앞 매수인이 친척인데미등기전매 를 전 매도인과 하면서그걸 숨기고 저에게 매매한것 입니다.복잡한 소송인데제가 묻고싶은것은저런 사항을 2021년도에 알았지만등기부 매수시점은 2014년입니다.위사안을 모두 숨기고 있다가저에게 3억을 요구하는 소송에서이익을 같이하는 저 사람들은위증도 하고 있습니다.사기죄가 맞다면 공소시효 가지난것인지요?,"질문: 안녕하세요, 제가 2014년에 부동산을 매수했는데 나중에 알게 된 복잡한 거래 내역과 소송 문제에 대해 문의드리고 싶습니다. 이런 경우, 사기죄의 공소시효가 지났는지 궁금합니다."
"안녕하세요법인회사에 1년6개월정도 근무했고요,근무하는 동안에 법인카드로 사무실비품,직원식대,손님접대 그리고 대표의 승인하에 골프도 한번씩 치고 대표가 지시하는 물품도 구입해서 주기도하고 했습니다그런데 최근에 대표가 실제 오너이지만 제3자 명의로 운영하던 b라는 회사가 대표를 횡령으로 고소햐 사건이 있었는데 대표가 사용한 b회사의 법인카드3장의금액도 포함해서 횡령으로 고소되었다고 들었습니다그런데 제게 업무용으로 주었던 법인카드가 b법인 명의카드중 하나였고요. 저는 b회사도 대표의 회사니 직원으로서 어떤의식 없이 사용했고 사용액은 월50--60만원정도해서 근무하는 동안 전체약 1천만원 정도 될거 같습니다경찰에서 제게 참고인 조사할수도 있다고 들었습니다이런경우 죄가 될수 있을까요?또 경찰에서 참고인으로 오라고하면 이댸로 진술하면 될지 꼭 답변부탁드립니다참고로 대표승인없이 사용한 사항은 없습니다","경찰 조사를 받을 경우, 법인 카드 사용에 대해 어떻게 설명해야 할까요?"
"회사법인을 운영하는 법인대표입니다. 총 사내이사 3명이 있으며 그중  사내이사가 돈이 필요해서 법인에서 일억을 빌려갔습니다.회계장부상에 차용으로 정리 되어있습니다.회사가 어려워서 계속 변제를 요구하였고 빌려간것은 2년정도 되었습니다. 사내이사가 투자형태로 하자고 요구 하였지만 빌려준거라 재차 말을 했습니다. 그 다음단계는 회사 이사 세명이서 따로 다른 법인을 만들고 현재 이 법인을 청산 하자고 합니다. 대표이사 변경 이행의 청구의 소송 까지 해놓은 상태이며, 또 다른 사내이사는 배임죄로 해놓았지만 합의를 보자고 하여 일단 더 이상 진행을 하지 않았습니다현재 본인이 회사에 각종 차량렌탈비용 그리고 미수금 운영비등등을 받지 못한돈이 일억 정도는 됩니다. 사내이사의 변제가 이루어지면 청산을 할수 잇는데 거부 하고 있어서 업무상 배임죄가 형성이 될련지 궁금해서 질의를 합니다.",사내이사가 회사를 통해 빌린 금액을 변제하지 않는 상황에서 업무상 배임죄가 성립될 가능성에 대해 알고 싶습니다.
지금 공무원 임용전 횡령건으로 고소당하여 협의중에 있는데 협의가 잘안되서 벌금이라던지 나올경우 징계처분이 궁금합니다 해임당할까요?,공무원 임용 전에 있었던 문제로 인해 징계 처분이 어떻게 될지 궁금합니다. 해임될 가능성이 있을까요?
"아는 지인(피고)이 골드바와 구리를 낮은가격에 구매를하여 판다고 속이고 돈을 빌려주면 이자포함해서 주겠다고 하였습니다. 당시 xx구청 과장과 거래를 하고 있으며 신분상의 관계로 과장의 와이프 통장으로 거래를 하고 있다고 하여 이에속은 본인은 과장 와이프라고 말한 통장에 약 몇차례에 걸쳐 7000만원정도 입금을 했는데요.. 알고 봤더니 구청와이프가 아니라 피고 애인이였더라구요그리고 저는 사기죄로 지인을 고소하여 사기죄 성립인정되어 법원에 선고만 남겨 놓은 상황입니다(하지만 도주하여 지명수배중)여기서 궁금한거 몇가지 여쭙겠습니다1. 피고가 애인한테 빌렸던 돈을 갚고 일부 몇천은 애인이 현금을 인출하여 피고에게 줬다는데(애인이 직접 저에게 말해줌)이경우 애인도 다른죄(사기방조, 전자금융거래법 등)처벌을 할 수 있는지 궁금합니다.2. 현피고 애인에게 부당이득반환청구 소송을 해도 괜찮을지 궁금합니다","피고의 애인이 피고에게 돈을 일부 갚거나 현금을 건넸다면, 애인이 법적으로 처벌받을 가능성이 있는지 궁금합니다. 또한, 애인에게 부당이득반환청구 소송을 제기해도 되는지 알고 싶습니다."
복지관에서 일하고 있는데 좀 부자인 어르신들이 많아요그래서 투자 명목으로 돈을 좀 챙겨서 이자로 돌려드린다고 했는데자식들이 그 사실을 알고 경찰에 신고했습니다.현재 유사수신행위 법 위반으로 구속될 것 같아요진짜로 코인에 투자했긴 했거든요? 어떻게 해야할지 모르겠습니다..형사처벌 관련해서 도움 주시면 감사하겠습니다..,"어르신들이 코인에 투자했는데, 이와 관련된 법적 문제 발생 시 어떻게 해결할 수 있을까요?"
"가족간 명의도용사례 상담 드립니다누나가 아버지 몰래 아버지 명의 핸드폰을 개통하여 공인인증서 도용 등을 이용하여 금융권에 대출을 받았습니다 아버지는 아버지 명의 핸드폰이 있는지 모르시는 상태이며, 대출이 진행된 사실도 모르셨습니다궁금한 사항은 친족간 재산범죄는 친족상도례에 따라 형면제 된다고 하더군여 명의도용, 은행에 대한 사기 등 처벌이 되는지 궁금하며,또한 명의도용에 따른 아버지 허락없이 불법대출을 받은 사안에서 대출금에 대해서 아버지가 구제받을수 있는 방법이 있는지 궁금합니다","가족 구성원이 다른 가족의 명의를 이용하여 핸드폰을 개통하고 대출을 받았다면, 관련된 법적 문제나 대출금 구제 방법이 어떻게 될까요?"
지인이 본인 사업체 통장 문제로 인해 8000만원이라는 돈을잠시 입금 해달라고 하더라구요그냥 보관만 하다가 나중에 다시 가져갈건데 (이자같은거 안받을 예정)이럴때 뭐 세금 조세가 들어간다는 얘기가 있어서요제가 지금 소득이 없는 상태인데이럴경우엔 저한테 세금폭탄이 떨어지나요??그냥 잠시 빌려주고 다시 줄경우 문제가 안될 방법 있을까요??,"지인이 사업 문제로 인해 큰 금액을 잠시 제 통장에 맡기고 싶어 하는데, 이 경우 세금 문제가 발생할 수 있나요? 문제가 없으려면 어떻게 해야 할까요?"
아빠가 계주인데 곗돈 횡령죄로 신고당할판이에요오해인것같은데 일단 잘 모르겠고..근데 피해자들쪽에서 횡령죄배임죄중에 뭔지알아보고 알아서 할거라는데걱정이되서요많이 다른건가요? 뭐가 더 안좋아요?네이버 쳐봐도 잘 모르겠어서요정보 좀 주시면 좋겠습니다 :),횡령죄와 배임죄는 어떤 점이 다른가요? 두 범죄 중 어느 쪽이 더 심각한 결과를 초래할 수 있을까요? 관련 정보를 알고 싶습니다.
2018년에 전자금융거래법위반으로 벌금형을 받았었고2021년에 회사회계로인하여 세금처리때문에 통장이필요하다법에위반되지않으며 합법적으로 사용하는거라고하여카드 2개를 보내주고 달마다300만원씩 받기로하였습니다그리고 4일뒤쯤 2000만원정도 입금이되고 300만원이출금된후 계좌가 거래정지되었고 경찰에서 연락이와 보이스피싱에 사용된계좌라고 조사받으러오라고해서 조사를받은후6월23일에 첫재판을 받았습니다일단 1700만원이라는 금액이 계좌에있어 금감원에서 피해자들에게 돌려준다고 돈을 다빼간상황이고재판에서 기소내용 인정하고 판사님이 과거에도 동종범죄이력이있는데 범죄인줄알고도 하신거아니냐고하여회사회계에 사용된다하였고 합법적이게쓰인다고하여서 보이스피싱에 사용될줄은 몰랐다고 답변하였고검사가 4조?항을 추가한다고하여 판사님께서 아무런 서류를제출하지못했으니 국선변호사를 선임해드릴테니 상담후 7월21일에 다시 출석하라고하셨습니다궁금한사항1. 국선변호사만 선임을해도 실형만큼은 피할수있을까요?2.사건담당 형사님께서말하길 피해금액도적고 어느정도 피해금액이 다시되돌아가서 실형은 안나온다고 얘기하셨는데믿어도될까요?,궁금한 사항 1. 국선변호사를 선임하면 실형을 피할 수 있을까요? 2. 사건 담당 형사님이 피해 금액이 적어 실형은 나오지 않을 것이라고 하셨는데 믿어도 될까요?
상습적 임금체불 및 상업적횡령이 의심되는 회사입니다.매번약속을 어겨 임금체불이 매달 이루어지고있는데요너무 열이받아서 아무도 보이지 않는곳에서 벽 몇번치고 벽 몇번 발로 차고 서류 한번 내던졌습니다.물론 친 벽과 찬 벽에 흠집하나 없는 상태고 기물이나 여러가지 회사 내 물건들 전혀 파손되지 않은 상태입니다.오늘은 이 cctv자료를 가지고 어떤 업체에 파일을 첨부해서 보냈더라구요?또한 이걸로 해고시키려고 합니다1. 이걸 cctv관리자인지는 모르겠으나 다른 일반 직원과 같이 돌려보면 개인정보보호법에 위반되는 사항인지2. 위반되면 개인정보보호법 몇조에 해당하는 위반사항인지3. 이러한 영상을 외부로 유출시켜도 되는지4. 이러한 사유로 해고가 가능한지1 2 3 4 성실답변 부탁드리겠습니다,회사의 임금 체불과 관련된 문제로 인해 불만이 있습니다. 관련 CCTV 자료가 외부로 유출될 경우 법적으로 문제가 될 수 있는지 궁금합니다. 1. 근로자의 개인정보가 외부로 유출될 경우 법적 위반사항이 있는지 2. 이러한 상황에서 해고가 가능할지 알고 싶습니다. 답변 부탁드립니다.
친구가 일을 구하는중 전화를 받고 부동산 일이라며 현금만 수거해오면 된다 사업자 등록증 민증 사진까지 받고 어제 부터 일을 시작해 오늘 오후 세시경쯤 경찰에 잡혀 지금 구치소에 있습니다 피해금액은 1000만원 조금 넘는걸로 알고있는데친구가 그일이 보이스 피싱인줄 모르고 시작하고 전과도 없고 정말 착한 사람인데 이럴경우 형량은 어떻게 되고 벌금은 또 어떻게 될까요 네이버에 찾아보니 잘만 하면 집행유해 받을수도 있다고 봤는데 누구한테 물어봐야할지 몰라서 여기에 써봐요..구치소에 이송 됬는데 언제쯤 나오고 하는진 모르는건가요?,"친구가 실수로 범죄에 연루되어 구치소에 있는데, 이 경우 법적 절차는 어떻게 진행될까요?"
아무것도 모르고 알바했을 뿐인데보이스피싱 공범자라고 합니다..그래서 재판이 열린 것 같은데보이스피싱 무죄 받을려면 어떻게 하나요?변호사와 상담하면 보이스피싱 무죄 정말 받을 수 있나요?,보이스피싱 관련 혐의에 대해 변호사와 상담하여 법적 조언을 받을 수 있을까요?
총 4군데 대출@@ 통해서 주마다 변제하기로 하고 쓰고 갚고 쓰고 갚고 하다 보니 일이 점점 커졌네요.지인들.가족들 연락처 까지 갖고 있어서 계속 끌려다녔는데 그거 불법이라고 알려줘서 경찰에 고소 준비 하는데 한곳은 25만원 남은거 포기하고 나머지3곳은 원금 정리하고 송금하고 끝내기로 했어요 근데 통장내역 보고는 뜨악했네요.이건 진짜.....그 동안 뭐 한건지...그 동안 그 사람들에게 저도 당한것도 있고 반말에.욕에...저도 그거 메꾸느라 주변에 신용 다 잃고.저도 급한 마음에 쓰긴 했지만.....잘못된 건 알지만..이제 원금 다 갚았으니 고소해도 되나요?이제제한법 위반 불법대부업으로 고소 하려하는데 고소가 될까요?그 사람들 벌금이라도 맞게 하고 싶네요,대부업체를 불법대부업으로 신고하면 법적으로 문제가 될까요?
ㅡ프라이빗 세일코인 선수익 500%ㅡ최고점에서 매도 잡아드리니 걱정마세요ㅡ수익나면 원금은 빼고 수익금으로 재투자하세요ㅡ매집종료임박ㅡㅇㅇ코인으로 거대한 엄청난 행복이됩니다ㅡ락업 빨리 풀리도록 미리 선점하세요이런멘트들이 불법에 해당되는지 알고싶습니다,위와 같은 형식의 홍보 문구가 법적으로 문제가 될 수 있는지 알고 싶습니다.
재무팀에서 회사내 자금을 담당하고 있는데요.다른 회사에 투자하는 기업이여서 돈이 유동적으로 매일 돕니다.그래서 한번씩 실수를 하는데 이번에 좀 크게 실수를 한 게 있어요..근데 감사를 하면서 회사내에서 문제가 심각해졌거든요?그래서 현재 회사돈횡령 사건에 연루되었습니다.잘못하다간 처벌받게 생겨서 횡령죄변호사 급하게 찾아요.,재무팀에서 발생한 문제로 법적 도움이 필요합니다. 회사 문제를 해결할 변호사를 어디서 찾을 수 있을까요?
타인명의 휴대전화를 이용하여 허락없이 폰뱅킹가입후 명의자 적금해지 후 인출하여 착복하면 컴퓨터등사용사기에 해당될수있나요??,타인의 휴대전화를 허락 없이 사용하여 금융 거래를 하면 어떤 법적 문제가 발생할 수 있나요?
제가 이번에 컴퓨터등사용사기 죄로 4월7일날 첫공판인데 제가 초범이고 전과 자체도 없고... 제과 가정폭력으로 쉼터생활중이고 하는데 이런걸로 양형기준을 잡을수있는지 처벌이어떻게나올지 걱정됩니다...반성 많이 하고있고..반성문제출했습니다,"제가 법적 문제로 곧 재판을 받게 되는데, 초범이고 전과도 없으며 현재 어려운 상황에 놓여 있습니다. 이런 상황들이 양형에 어떤 영향을 미칠 수 있을지, 처벌은 어떻게 나올지 궁금합니다."
안녕하세요 40만을빌리고 60으로갚으라는걸빌렸습니다 근데 일주일만에60으로갚으래요없으면 일주일연장금20 을 보내랍니다그렇게3주연장해서 연장비만60만 계좌이체한상황입니다 그분계좌 번호 문자에 얼마보내라다 남아있습니다 제가사정이안좋아져서 그동안연장비낸게 빌린원금보다도많으니 갚은걸로해주실수 없냐 했는데 죽어도안된다고하셔서 불법사금융신고로 넣으려합니다. 가능한가요?,불법 사금융에 대해 신고를 할 수 있는 방법이 있을까요?
"안녕하세요. 부동산 매매사업자를 시작하려 합니다.다만 제가 제 명의로는 사업자를 낼 수 없는 상태이고, 가족(동생) 명의로 내려고 합니다.1. 대상자인 동생의 명의 휴대폰과 통장 개설 등 필요한 것을 동생 명의로 제가 다 소유한 상태로 사업을 진행할 예정입니다.서류상 문제되는것이 있을까요?2. 사업자금 출처를 증빙해야 하는 경우가 생기나요?(초기자금은 제돈을 동생명의 통장으로 이체 후 진행할 예정)3. 위 조건으로 경매 입찰이 가능하겠습니까?답변 감사합니다.",안녕하세요. 가족 명의로 부동산 매매사업을 시작하려고 합니다. 이 과정에서 서류상 문제가 될 만한 사항이 있을까요? 그리고 사업자금에 대한 증빙이 필요한 상황이 발생할 수 있나요? 감사합니다.
가해자는 아는지인이고 피해자는저와지인2명입니다.방산업체 샘플만들고 계약조건으로 예를들어 백만원투자시 언제까지 원금플러스 얼마를 더주는조건으로 계약을하고 투자를했습니다. 샘플을보내야 계약의 성립을알수있다며 하지만 샘플값은 무조건받는조건이였습니다 그게 원금플러스조금더받는조건으로 했습니다 백프로보장조건이였습니다. 지금 그사람이 근데 그투자금으로 다른곳에 사용하였고 사기죄는 성립이되어 다음주에 검찰송치예정이라고합니다. 경찰에 유사수신행위도 말씀을드렸는데 경찰관님이 알아봤는데 저희는 아는지인이라 불특정다수에해당이되지않아 조금힘들겠다고하였습니다 다음주에 검찰사기혐의는확실하니 송치할테리 검찰쪽에 다시말해보라하였습니다. 원금보장 그투자금을 애초에 가해자가 다른곳에 사용하려고 하였다면 유사수신행위죄가 될까요?,"가해자가 처음부터 투자금을 다른 용도로 사용하려고 했다면, 유사수신행위로 처벌될 수 있을까요?"
법인지분은  신용문제로 받지 못한채 동업을 하며 자금사정이 어려워 개인돈 2억 을 입금후 변재받기 힘들듯해서 중간중간에 빼서 1억정도를 법인통장에서 뺐습니다. 법인통장에 입금시 제 이름으로 했고 제이름으로 뺐습니다. 아직 1억정도의 돈을 빼지 못한상황에서 헤어지게 되었습니다.돈을 돌려달라했더니 상대는 저를 횡령으로 신고한다고 하는데 총 2억을 제이름으로 넣었고 1억을 뺀 상황인데 횡령이 적용이되나요 제가 빌려준 대여금을 받은거로 방어할수있나요,"신용 문제로 인해 자금 사정이 어려워 개인 자금을 법인 통장에 넣었다가 일부를 인출했는데, 이 상황에서 법적 문제가 될 수 있는지 알고 싶습니다. 어떻게 해야 할까요?"
"mexc 거라소를 카톡 문자 보고 가입을 하였습니다.팀장이라고 하시는분이 개인 컨선팅을한다면서 투자를 해보라고하는데 투자금은 500부터고2~3일걸리며.수익 발생 하면.수수료20%고 수익금출금후에 입금하면된다고 합니다.정말 믿을만 곳입니까,","mexc 거라소에 가입했는데, 개인 컨설팅을 제안받았습니다. 이 투자 제안이 신뢰할 수 있는 것인지 궁금합니다."
"채무자가 몇천만원되는 돈을 전혀갚지않아요채무자는 택배영업소 사업자의 직원으로물량많이 받아서 택배배송 일을하고있구요한달에 5~600만원 수입이 있습니다.- 일은 채무자가 하고있으나, 급여는 본인친동생계좌로 받아서 친동생체크카드로 사용하면서쓰고있어요. 이런경우 업체도 고용부신고??이런거 못하나요?- 편법을 쓰면서 일하고있어서 급여압류를못하고있는데 법으로 혼내줄 방법좀 알려주세요ㅜㅜ자기명의로 아무것도안하고 번돈은토토 하고 술먹고 여자잘만나면서 쓰고다닌대요ㅜㅜ※ 어디서 어떻게 일하는지는 알고있습니다.",채무자의 수입이 동생의 계좌로 들어가고 있어 급여 압류가 어려운 상황에서 어떤 법적 조치를 취할 수 있을까요?
"해외선물 사설거래소 직원으로 일을해서 검사구형 1년받고 금일 실형8개월선고받앗습니다.불구속으로 진행이 되고 1주일내로 항소하려면 하라고 판사님이 그러시더라구요.죄명은 도박장개설, 자본시장법위반?, 범단 등등 걸려있구요.같이 재판본 사람은 20명정도 되는데 다들 구형2년 구형1년 이렇게 받앗는데,구형1년 받은 사람중 저만 실형이 찍히고 나머지는 집행유예를 선고 받아서요.우선 검찰조사과정에서 범죄사실 다 인정을 한 상태인데,양형을 받을수 있을까요?양형을 받을수 있다면 어떤방법이 있을까요?","판사님으로부터 항소를 권유받았는데, 양형을 받을 수 있는 방법이 있을까요?"
제가 어려운환경에 아이하나키우고 있는데다 혼자 식당알바를 하고있는사황에서 sns를 통해 신불자도 신용카드를 만들어준다는 광고를보고 연락을 하게되었는데 전번도 모르고 카톡으로만 시키는데로 하라고만해서 시키는데로 계좌번호 넘겨주고 제 신분까지 넘겼습니다. 카드받을 주소까지 그런데 제신용도를 높혀야 하며 절차가필요하다하였고 저의대한 자금은 필요없다하였습니다대신 자기회사 자금으로 해결해주니 실수없이 하라하였습니다그리하여 갑자기 제통장으로 천만원이 입금되어카카오페이에다 이백만원을 충전후 송금을 해달라하 시키는데로 하였고 다음 네에버페이 이백만원을 충전후 송금해달라하여 의심조차 하지않고 시키는데로 하였습니다 그후 세번씩이나 더 하였고 또 사백만원이 입금되더니 똑같이 해달라 하였습니다 그후 두차례를 시키는데로 하였는데 사기계좌로 쓸수가 없다고 온 통장이 다 막혀있습니다그사기꾼들과는 연락이 닿지않고 정말 막막하고 어디 물어볼데도 없고 그나마 식당알바비도 못받고 있습니다 이걸 어떻게 해결해야 할까요..도와주세요﻿,"도움이 필요합니다. 어려운 상황에서 혼자 아이를 키우며 식당 아르바이트를 하고 있는데, SNS를 통해 신용카드를 만든다는 광고를 보고 연락했더니, 사기를 당한 것 같습니다. 계좌번호와 신분 정보를 넘겼고, 큰 금액이 제 통장으로 입금된 후 다양한 방식으로 돈을 송금하라고 하여, 시키는 대로 했습니다. 그 후 통장이 막혀버리고 그들과 연락이 끊겼습니다. 어떻게 해결할 수 있을까요?"
회사에서 회계일을 하던중 순간 의료비때문에..회사에서 돈을 빼쓰고 법인카드를 개인적으로 사용하다가 걸렸습니다.대표님께서 제가 쓴 금액을 산출해보시고 4천만원쯤될것같다 하셔서 최대한 대출해서 4천만원 반환하고 퇴사를 하고 마무리를 지었었습니다.근데 오늘 갑자기 전화가 와서 찾아보니 금액이 더 될것같다고 돈을 더 줘야 할것같다 하시는데 어떻게해야할까요..?,재정적인 문제로 인한 직장에서의 실수를 어떻게 해결할 수 있을까요?
돈놀이 하시는 동네 이모님이 계시는데돈을 빌려주고 일주일 이자를 3프로씩 받고 다님동네 장사하시는 사람 없는 사람한테 빌려주고 닥달 하고 다닌다고 다피하는데...무섭다고 하는데신고 할 방법 없을가요? 하게되면 어떤식으로 해야될가요??,동네에서 돈을 빌려주는 분이 계시는데 이자율이 높게 느껴집니다. 이를 어떻게 해결할 수 있을까요? 신고하는 방법이 있나요?
"갑자기 연락 온 여성이랑 친해지다 보니 해외가기 전 잠시 놀던 사이트가 있다 거기가 내일 하트가 만료인데 환전받으라는데 계좌가 한국계좌가 없어 환전을 못받고 있어 사이트에 가입해서 하트 넘겨주면 대신 받아둿다가 줄 수 있어? 라고 했습니다 총 금액은 37,500,000원 정도 인데 여기서 문제는 제가 10% 수수료를 감당해야하여 375만원을 선입금하여 환전을 받으려 했습니다. 하지만 플렛폼상담원은 너무 큰 금액 이기도 하고 출처가 불분명하여 자산세탁이 의심된다 말 하며 제게 금융정보분석원에게 보증금 10% 즉, 375만 원을 또 지불해야 환전이 가능하다고 합니다. 수수료를 낼 때 금융정보분석원 얘기는 없었기에 흔쾌히 수수료를 지 불했지만 나중엔 결국 보증금을 또 내야 환전을 받을 수 있다고 합니다. 이럴 땐 어떡해야할까요...제가 돈이 없 다고 상담원에게 말했지만 돈의 문제가 아니며 자금세탁이 의심된다며 보증금을 내지 못할 시엔 국고로 넘기며 법정에서 자금 세탁 의혹으로 설거라고 합니다… 어떻게 해야하나요 현재도 시간 없다고 재촉하며 보증금을 달라고 하는 상태입니다.. 빠른 답변 부탁드려요 정말 부탁드립니다..","예상치 못한 상황으로 금융 사기를 당하는 것 같은데, 어떻게 해결하면 좋을까요?"
신용카드 신규 발급시 신분증이 꼭 필요한가요??분실신고했던 신분증 사진은 있는데 재발급 한거도 잃어버렸네요 또 발급 받고싶지않아서 여쭤봅니다본인인증 및 계좌인증 패스인증 그런거 다 가능합니다.주민등록증은 발급일자 알고있습니다 실물은 없습니다.되는곳 있으면 알려주세요 발급받게,신용카드 신규 발급 시 신분증 없이도 다른 본인 인증 방법으로 신청할 수 있나요?
아르바이트로 채용된 곳에서제 명의의 통장으로 계좌이체를 진행하는 업무를 했는데요여기저기 찾아보니 업체 등록도 되어있고 이상한 일 같지는않아서 일을 시작했는데 대포통장처벌 위기에 놓였습니다저처럼 잘 모르고 연루된 경우에도 대포통장처벌로억울하게 혐의 입을 수 있는건지.. 어떻게 하면 좋을지 궁금합니다.,"아르바이트 중에 통장 업무를 하다가 걱정되는 상황에 처했는데, 제가 법적인 문제에 휘말릴 가능성이 있을까요? 어떻게 해야 할지 궁금합니다."
우선 사기는 아는지인에게 약 2700만원을 수차례 빌렷는데 거짓말 해서 좀 빌렷습니다 2700중 1700은 변재를 하였습니다..다른 사채쪽 빚독촉이 너무 심해 번호바꾸고 연락 안드리다가 그리고 갚으려고 개인회생 신청 하였고 사건번호가 나와서 제가 먼저 그 채권자에게 전화하여 상황이 이래되서 회생하였고 살면서 갚겟다곤 했는데 탄원서나 사건취하서 안들어가면 실형 가능성 있나요?.... 경찰수사 끝나고 검찰로 넘어간 상태입니다2번째는오토바이 리스관련인데 제가 리스오토바이를 5개월 남은걸 인수하여 월 납입금을 한번도 못내서 있다가 상사측에서 돈 안주면 오토바이 회수하겠다 카길래 조금만 기다려달라고 했다가 어떻게보면 위에 일때문에 번호바뀌어 연락안하다 최근에 민사가 들어와서 1월달꺼 리스료랑 위약금 청구가 되었길래 1월달 기간 지나고 반납하면 되겠다 싶어 가만히 있다가 상사측에서 저를 횡령으로 고소했다고 경찰서에서 연락이왔고 그날 바로 오토바이를 반납하였습니다..진짜 1월까지 청구되어 왔길래 들고있어도 되는줄 알았는데 개인회생에 오토바이 상사 줄 돈도 회생 목록에 넣었는데 아직 조사전인데 큰일 있을까요..전과는폭행 및 상해 벌금형 4번정도약8년전 보험사기 벌금 1번 있습니다형사말로는 위에껀 어느정도 변제했으니 실형가고 그럴일은 없을꺼다 캣고횡령도 간단한 사건이니 조사만 받고 가라 카긴했는데 많이 위험한 상태인가요..,이 상황에서 어떤 법적 문제가 발생할 수 있을까요?
